리뷰
갖고 싶었던 스타일러 드뎌 받았어요. 토요일에 주문해서 설 지나고 받을줄 알았는데 생각보다 일찍 받아 기분 좋았습니다. 기사님 설치후 친절히 설명해주셨는데 바지칼주름 기능을 하기 위해서는 단독으로 해야한다는 설명을 듣고 좀 실망?스러웠어요. 시간도 1시간 4분이나!  당연히 다른 옷 넣고 함께 할 수있는줄 알았거든요. 하지만 괘안아요. 칼주름 잡을만한 바지 많이 안입으니까. ^^주문번호 : 2898147805
"후기에 오래 걸린다고 해서 신경끄고 있다가 지방이어서인지 일주일만에 배송된다고 전화와서 깜짝 놀랐어요.집이  3층인데 사다리차로 빠르고 안전하게 옮겨 두 분이 작은방으로 설치 잘 해주시고 사용 설명도 해 주시고 가셨어요. 30분도 안되어 사다리차부터 설치완료 설명까지 끝난듯 하네요.마침 방석과 털인형 세탁이 끝나서 건조기능 한시간 했더니,  방석은 약간 습기가 남아 있는 것 같고 털인형은 다 말랐는데 설치기사님이 두시간 건조 추천하신대로 했으면 다 말랐을거 같아요. 바로 옷과 같이 스팀살균 했어요~장마철이어서 건조기능도 꼭 필요해요.아이들이 학교에서 돌아와 벗어놓은 교복과 털인형  같이 스타일링기능 썼는데 세탁소에서 찾아 온 것처럼 넘 좋아요~털인형도 오래되서 털도 눌리고 색도 변한줄 알았는데 한올한올 살아난듯 부드럽고 색도 선명해졌어요.교복바지칼주름 만들어보려고 옷걸이에 주름맞게 잘 물리고 스타일러 문안쪽에 고정시켰는데 두줄생기지 않게 잘 정리해서 넣어야 할 것 같아요.  아래 양쪽 고정할때 최대한 주름흐트러지지않게 팽팽하게 잡아당겨 고정시키고 다림판(?)으로 눌러주고 나중에 끝나서 보니 칼주름 잡혀서 나왔어요~얼마나 주름 잘 잡아서 팽팽하게 늘어뜨려 고정했는지가 칼주름을 결정하는 것 같아요~교복상의도 하루 입고 오면 잘 걸어도 구김이 있는데 스팀살균하고 나오니 주름도 다 펴지고, 매일 세탁소에서 드라이클리닝해서 새 교복을 입힐수 있게 된 기분이에요.냥이 셋 키우는 집이라 옷과 인형에 털도 붙고 하는데 스타일러에서 나오니까 털도 거의 안보입니다.소음은 건조기능일때 터는 소리가 세탁기 돌아가는 소리보다는 절반이하로 적고, 스타일러기능일때는 선풍기소리보다 작아서 다른 방에  있으면 잘 모르겠어요.끝나면 전원까지 자동으로 꺼지니까 전기도 절약되니 좋아요. 고민하다가 맘먹고 지르길 참 잘 한것 같아요.좋은 제품 감사합니다~"
1월8일에 주문해서 2월2일에 받았네여 물론 중간 유통회사라 본서에서 물량이 딸리는건 어쩔수없지만 그럼 고객들에게 이해할수있도록 설명을 충분히 해주면 괜찮은데 물량이 딸려서 일월말에 순차적으로 출고된다 이월초엔 출고된다는 식으로 언제 출고될지 모르겠다는 얘기만 반복하니 신뢰감이 많이 떨어졌습니다결국 취소할까 하는 찰나에 해피콜 전화 받아서 근 한달만에 제품이 설치되었습니다.제품은 뭐 lg제품이니 다 똑같겠지만 판매자로서 배송이나 재고확보에 문제가 있으시면 고객들 요청에 의해서가 아니라 먼저 적극적으로 설명해주시면 좋지않았을까하는 생각이 드네요!
왜 여태 안삿나 싶어요좀더 빠르게 살걸원래 스타일러 살돈이면 차라리 만원짜리 드라이를 100번 맡기자 이주의 였는데.. 그래도 요새 미세먼지도 많고 찝찝한경우가 많고특히 고깃집 다녀온거 페브리즈로 해결하기로 그렇고 그렇다고 매번 드라이 맡기기도 그렇고스타일러 왜 늦게 삿나 후회될정돕니다.꼭사세요 두번사세요
물건 배송시작 뜨고 아무 연락이 없어 판매자 연락처에 전화하니 통화안되는 번호라 해 사기당했나 했어요. 게시판에 글 남기니  3일에서 14일 걸린다 답장 남기셨더라구요. 정말 14일만에 받은듯하네요. 지방도 아니고 서울인데.. 설치받고 돌려보는데 생각보다는 소음이 적지만 돌려놓구 잠을 자거나 할땐 거슬리겠어요.
친절한 설치기사님들께 감사드립니다.가전제품 주문이 많아서 그런지 배송이 많이 느립니다.2-3주 생각하시고 구매하세요.사은품도 주시고 싸게 잘 구입했습니다. 장점은 의류 관리가 편해질것 같아서 좋구요. 단점은 냄새가 제거가 완벽하게 안됩니다. 리뷰에도 lg전자 사기라고 평 남기신분 있었는데 이해가 되네요ㅜ일단은 아로마시트는 필수인것같습니다. 냄새가 많이 나는 옷은 꼭 그냥 돌리지마시고 아로마시트사용 하면 도움 될것같네요!
"우와,드디어 받았어요.제품에 대한 불만은 없어도 배송에 대한 불만이 많아서 아예 포기하고 있었지만 딱 보름만에 왔네요. 구정연휴 전날이라 차도 많이 막히는데 아침에 받아서 기분 좋아요. 유난히 옷에 까다로운 남편땜에 결국 샀는데 남편은 왜 사느냐고 난리. 배송이 오래걸려서 그 사이 그냥 취소할까 많이 갈등했네요. 저같은 사람 많을듯 하니 배송을 빨리하는게 취소율을 줄이지 않겠나 싶어요. 받자마자 일단 아이 롱패딩이랑 남편 반코트랑 바지 넣고 가동중입니다. 기대만땅이네요. 옷에 예민해서 세탁소 많이 가는데 세탁소 갈 일 줄어들지 않겠나 하는 생각도 들구요, 겨울에 가장 열일할꺼 같아요. 건조기 있으니까 다른 기능은 그닥 안쓸꺼 같고,소리도 걱정했는데 저희는 거실 tv 바로 옆에 설치했는데 tv소리에 방해 되지 않을 정도네요. 오히려 건조기 돌아가는 소리가 크지 스타일러는 저 정도면 정숙해요. 모피는 앱을 따로 다운받아서 폰으로 조정하라고 해서 시도하려다가 아이폰이라 잘 모르겠고, 센터에 전화하고 연락 기다리는 중입니다. 어플이 되면 참 편할꺼 같아요. 다이슨청정기도 어플로 조절하니까 저는 좋더라구요.이제 당분간 쇼핑 뚝!"
많은 고민끝에 구입한 스타일러..어제 배달받자마자 남편의 양복자켓과 양복바지. 아이의 교복까지  표준코스로 진행했습니다.결론은 뽀송뽀송.. 바지주름까지 잡혀서 넘넘 좋습니다..다만 바지 칼주름은 안쪽부분까지는 디테일함이 부족합니다 고급아웃도어도 건조외 살균이 된다하니 넘 좋네요. 왜 스타일러 스타일러 하는지 알겠더라구요.작동시 소음이 좀 있습니다만.. 소리에 예민한 제가  작동하는동안 그러려니.. 생각하니 크게 방해되는 정도는 아닙니다.우리집은 거실에 뒀는데  스탠드형 에어컨같은 느낌입니다. 린넨브라운색상이 잘 어울려 좋아요
"2018/9월 생산 제품이네요. 9/4일에 주문해서 일주일만에 받았어요. 설치 기사님들 친절하시구요. 시험삼아 자켓 3벌, 면바지 3벌, 울코트 2벌 돌려봤어요. 옷이 깨끗해진 느낌입니다. 주름이 다 펴지지는 않지만 후줄근한 느낌은 없어집니다. 안내서 쓰여진대로 스팀다리미보다 약간 낮은 구김 제거 성능입니다. 포함되어 배송된 아로마시트의 향은 사용 전에는 향이 엄청 강한데 스타일러에 사용하니 그렇게 강하지는 않네요. 향이 나는 듯 안 나는 듯 해서 강한 쪽으로 했는데도 향이 많이 나지는 않아요. 색상은 브라운인데 괜찮아요."
상품 품질이 좋습니다. 마음에 들어요타 사이트보다 저렴하게 구입해서 정말 좋으네요아시는 지인분께도 선물해야겠어요배송도 빠르고 친절하게 설치해주시고 사용방법까지  꼼꼼하게 설명해주셔서 잘 쓸 수 있겠네요역시 엘지스타일러라는 생각이 드네요
드라이 맡기기 아까운 옷들 스타일러에 돌려 장롱에 넣어뒀네요.아로마 키트까지 있어서 옷에 향도 나고~정말 대만족입니다.급한옷은 건조해서 입을수도 있고~하여간 진짜 대박 아이템이예요~작은 방에 두었는데 제습기능도 있어서 여름에 유용할거 같아요!!!단점이라면 소음이 있어요. 세탁기와 비슷한데 기본이 30분정도 하니까그렇게 거슬릴 정도는 아닌데..예민하신분들은 안좋아하신다고 하더라구요.저는 꼭 필요했던 제품이라 만족합니다!!!
우선 스타일러 외관 마음에들구여 기능이 어떤지 테스트할겸 겨울알파카코트 기능성으로 돌려봤습니다.습한기운이 있었는데 정말 뽀송뽀송 촉감도좋고 향기도좋고 완전 만족입니다.사계절내내 향기나는옷 입을수있어 기분좋네요~~
"취직을 하고 정장을 매일 입다보니, 세탁하는 것도 문제고 해서 구매를 결정했습니다. 결과적으로는 대 만족입니다. 회식 후 탈취도 좋구, 자주 세탁하기 어려운 정장을 매번 새 옷처럼 뽀송하게 만들어주는데다 바지 주름도 어느정도는(다림질 보다는 못합니다) 잘 다려주기 때문에 정장이나 매번 빨기 힘든 옷을 자주 입으시는 분이라면 강추합니다."
