광역시도,행정구역,주소,shortName,x,y,유치원_정원_수,유치원_보육교직원_수,유치원_보육실_수,놀이터_수,유치원_CCTV설치_수,스쿨버스_운영비율,0~7세 인구수
서울특별시,성동구,서울특별시 성동구,서울성동,7,5,44.55978261,14.3423913,4.298913043,0.472826087,6.89673913,0.163043478,18943
서울특별시,성북구,서울특별시 성북구,서울성북,6,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24134
서울특별시,송파구,서울특별시 송파구,서울송파,8,6,41.18826406,8.706601467,0,0,6.512254902,0.17603912,42638
서울특별시,양천구,서울특별시 양천구,서울양천,4,5,39.43037975,8.041139241,0,0,6.379746835,0.170886076,26115
서울특별시,영등포구,서울특별시 영등포구,서울영등포,4,6,45.13157895,9.244360902,4.236842105,0.293233083,7.330827068,0.176691729,21397
서울특별시,용산구,서울특별시 용산구,서울용산,6,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11665
서울특별시,은평구,서울특별시 은평구,서울은평,4,3,49.50883392,9.240282686,5.25795053,0.173144876,8.921985816,0.434628975,26034
서울특별시,종로구,서울특별시 종로구,서울종로,6,3,62.84615385,13.41025641,4.935897436,0.807692308,10.75641026,0.179487179,6599
서울특별시,중구,서울특별시 중구,서울중구,6,4,63.70588235,13.77941176,4.970588235,1.095238095,10.5,0.058823529,6215
서울특별시,중랑구,서울특별시 중랑구,서울중랑,8,4,47.65702479,9.760330579,4.549586777,0.181818182,7.47107438,0.404958678,20925
세종특별자치시,세종시,세종특별자치시 세종시,세종,4,11,52.10429448,#N/A,#N/A,#N/A,#N/A,#N/A,35357
울산광역시,남구,울산광역시 남구,울산남구,12,15,39.58130081,7.414634146,0,0,0,0.821138211,20656
울산광역시,동구,울산광역시 동구,울산동구,12,14,48.9020979,9.006993007,5.097902098,0.482517483,7.335664336,0.79020979,13930
울산광역시,북구,울산광역시 북구,울산북구,12,13,42.78817734,8.21182266,4.650246305,0.226600985,6.733990148,0.793103448,19914
울산광역시,울주군,울산광역시 울주군,울산울주,11,15,53.78911565,8.829931973,5.714285714,0.469387755,7.760273973,0.897959184,15303
울산광역시,중구,울산광역시 중구,울산중구,11,14,48.5625,8.9375,4.833333333,0.513888889,7.145833333,0.784722222,15417
인천광역시,강화군,인천광역시 강화군,인천강화,1,3,59.33333333,10.27777778,5,0.611111111,9.555555556,0.944444444,2514
인천광역시,계양구,인천광역시 계양구,인천계양,2,5,44.2,7.4,0,0,0,0.448,17219
인천광역시,남구,인천광역시 남구,인천남구,2,7,39.58130081,7.414634146,#N/A,#N/A,#N/A,0.821138211,5889
인천광역시,남동구,인천광역시 남동구,인천남동,2,8,45.70634921,8.735449735,4.796296296,0.264550265,7.343915344,0.365079365,37582
인천광역시,동구,인천광역시 동구,인천동구,1,5,40.03225806,7.564516129,4.435483871,0.403225806,7.129032258,0.290322581,3689
인천광역시,부평구,인천광역시 부평구,인천부평,2,6,41.14035088,7.862155388,4.117794486,0.240601504,6.348370927,0.37593985,31209
인천광역시,서구,인천광역시 서구,인천서구,1,4,42.66222222,7.808888889,4.364444444,0.582222222,6.587973274,0.344444444,42926
인천광역시,연수구,인천광역시 연수구,인천연수,1,8,34.43968872,7.673151751,0,0,0,0.33463035,26990
인천광역시,옹진군,인천광역시 옹진군,인천옹진,0,8,41.25,6.75,4.333333333,1,8.833333333,0.916666667,906
